image_stem,seed,edit_index,family,attempt,reasons,mask_area_ratio,bbox_xyxy,bbox_aspect_ratio,relative_bbox_width,relative_bbox_height,perimeter,compactness,connected_components,largest_component_ratio,largest_component_ratio_lower_bound,skeleton_length,elongation_score,boundary_score
573,0,2,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.0062060546875,"[134, 323, 384, 434]",2.2410714285714284,0.3921875,0.175,1444.0,0.015319726915511036,20,0.2797010228166798,0.2797010228166798,754,2.0581095822703452,0.5680566483084186
582,0,0,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.005458984375,"[238, 73, 404, 211]",1.2014388489208634,0.2609375,0.2171875,1366.0,0.015058449767147302,6,0.5491949910554562,0.5491949910554562,708,1.3761176240746504,0.610912343470483
59,0,2,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.0050634765625,"[299, 131, 520, 316]",1.1935483870967742,0.346875,0.290625,1517.0,0.011325241051506754,24,0.4643201542912247,0.4643201542912247,844,1.093153767914292,0.7314368370298939
628,0,1,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.01185302734375,"[216, 443, 400, 604]",1.1419753086419753,0.2890625,0.253125,1494.0,0.02733366725837477,2,0.7023686920700309,0.7023686920700309,702,1.1841441904616155,0.3077239958805355
628,0,1,D_boundary_evolution,2,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00646728515625,"[80, 224, 260, 370]",1.2312925170068028,0.2828125,0.2296875,1357.0,0.018077240128527832,2,0.5115137787844469,0.5115137787844469,680,1.2853622238964106,0.5122687806719517
628,0,1,D_boundary_evolution,3,D_COMPONENT_COUNT,0.00449462890625,"[132, 144, 299, 271]",1.3125,0.2625,0.2,1203.0,0.015985727217724073,3,0.9923954372623575,0.9923954372623575,603,1.3516525714002938,0.6534492123845737
628,0,1,D_boundary_evolution,4,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00430419921875,"[431, 437, 630, 525]",2.247191011235955,0.3125,0.1390625,925.0,0.02589278175966717,7,0.4027226318774816,0.4027226318774816,474,1.8861068226678182,0.5246738513896767
63,0,1,C_crack_like_structural_evolution,1,C_COMPONENT_COUNT,0.00246826171875,"[431, 276, 475, 441]",3.688888888888889,0.0703125,0.259375,476.0,0.056072137786513675,2,0.552917903066271,0.552917903066271,210,4.6908101135730655,0.4708209693372898
631,0,2,C_crack_like_structural_evolution,1,C_COMPONENT_COUNT,0.0029833984375,"[233, 141, 281, 336]",4.0,0.0765625,0.30625,554.0,0.05003357560618185,2,0.9828150572831423,0.9828150572831423,262,6.078940525683765,0.4533551554828151
64,0,0,D_boundary_evolution,1,D_COMPONENT_COUNT|D_LARGEST_COMPONENT_RATIO,0.00310791015625,"[450, 490, 623, 614]",1.392,0.271875,0.1953125,1022.0,0.015315686781299883,17,0.23016496465043204,0.23016496465043204,578,1.3040206338027232,0.802827965435978
64,0,0,D_boundary_evolution,2,D_COMPONENT_COUNT,0.00921142578125,"[356, 48, 576, 158]",1.990990990990991,0.3453125,0.1734375,1608.0,0.01833684358368959,2,0.9994699178372648,0.9994699178372648,770,1.9006620019583818,0.4261860588391201
